gush_number,school_gan,education_type,ethnicity,religious or not
8651,1,A,A,1
8652,3,A,A,1
8656,3,A,A,1
8658,2,A,A,1
8660,1,A,A,1
8686,4,M,J,2
8689,1,M,J,2
8691,3,H,J,4
8702,2,A,A,1
8708,5,A,A,1
8715,3,M,J,2
8726,4,M,J,2
8729,4,M,J,2
8730,5,M,J,2
8731,2,M,J,2
8732,1,H,J,4
8738,2,H,J,4
8752,2,A,A,1
8753,2,A,A,1
8754,5,A,A,1
8756,1,A,A,1
8760,1,A,A,1
8761,7,A,A,1
8762,2,A,A,1
8765,1,A,A,1
8772,3,A,A,1
8774,1,A,A,1
8780,2,A,A,1
8801,3,M,J,2
8802,2,M,J,2
8805,2,M,J,2
8806,3,M,J,2
8807,2,M,J,2
8808,2,M,J,2
8826,1,A,A,1
8827,1,A,A,1
8831,1,A,A,1
8841,1,A,A,1
8852,2,M,J,2
8853,3,M,J,2
8855,3,M,J,2
8861,17,A,A,1
8864,1,A,A,1
8879,1,A,A,1
8880,3,A,A,1
8883,1,A,A,1
8894,1,M,J,2
8897,1,M,J,2
8901,6,M,J,2
8914,3,M,J,2
8917,4,M,J,2
8919,4,M,J,2
8921,1,M,J,2
8924,5,M,J,2
8947,3,M,J,2
8952,2,M,J,2
8957,2,M,J,2
8959,1,M,J,2
8963,1,M,J,2
8966,3,M,J,2
8969,1,M,J,2
8971,2,M,J,2
8972,2,M,J,2
8975,1,M,J,2
8976,2,M,J,2
8996,1,A,A,1
8997,1,A,A,1
9016,1,A,A,1
9039,2,M,J,2
9042,1,H,J,4
9043,3,M,J,2
9056,1,M,J,2
9066,1,M,J,2
9067,2,M,J,2
9071,2,H,J,4
9073,4,H,J,4
9081,1,A,A,1
9088,2,M,J,2
9089,1,M,J,2
9090,14,M,J,2
9117,2,M,J,2
9125,1,M,J,2
9127,2,M,J,2
9128,1,M,J,2
9131,2,M,J,2
9146,3,M,J,2
9151,3,M,J,2
9216,5,M,J,2
9501,2,M,J,2
9503,5,M,J,2
9803,4,O,O,0
9901,5,M,J,2
9903,4,M,J,2
9904,2,M,J,2
9905,17,M,J,2
9908,1,M,J,2
10009,2,mixed,J,3
10012,2,H,J,4
10013,4,H,J,4
10016,9,M,J,2
10031,5,M,J,2
10032,6,M,J,2
10033,1,H,J,4
10034,5,M,J,2
10035,7,M,J,2
10036,7,M,J,2
10037,12,H,J,4
10038,2,M,J,2
10041,6,H,J,4
10042,6,mixed,J,3
10049,9,M,J,2
10050,1,H,J,4
10054,2,mixed,J,3
10059,3,M,J,2
10061,5,M,J,2
10062,2,M,J,2
10063,1,M,J,2
10064,6,H,J,4
10071,6,M,J,2
10072,10,M,J,2
10073,4,M,J,2
10074,6,M,J,2
10076,6,M,J,2
10079,3,M,J,2
10080,4,M,J,2
10081,1,M,J,2
10088,2,M,J,2
10098,1,M,J,2
10099,4,M,J,2
10101,1,M,J,2
10102,5,M,J,2
10103,4,mixed,J,3
10104,2,mixed,J,3
10105,5,M,J,2
10107,6,M,J,2
10111,1,H,J,4
10119,3,H,J,4
10121,3,H,J,4
10122,5,H,J,4
10123,6,M,J,2
10130,1,M,J,2
10132,1,M,J,2
10142,2,M,J,2
10143,4,M,J,2
10144,2,M,J,2
10145,1,H,J,4
10148,2,M,J,2
10151,2,mixed,J,3
10158,1,M,J,2
10159,4,M,J,2
10172,1,H,J,4
10174,2,mixed,J,3
10195,2,M,J,2
10198,2,M,J,2
10205,16,M,J,2
10206,1,M,J,2
10215,5,M,J,2
10223,1,M,J,2
10232,6,M,J,2
10236,3,M,J,2
10256,10,M,J,2
10257,1,M,J,2
10259,2,M,J,2
10262,5,A,A,1
10265,2,A,A,1
10268,6,A,A,1
10270,2,A,A,1
10274,8,A,A,1
10277,1,A,A,1
10279,1,A,A,1
10282,2,A,A,1
10283,1,A,A,1
10284,1,A,A,1
10285,2,A,A,1
10287,1,A,A,1
10312,35,A,A,1
10334,11,O,O,0
10343,1,O,O,0
10344,7,O,O,0
10345,2,O,O,0
10362,1,O,O,0
10366,2,O,O,0
10369,3,O,O,0
10373,2,O,O,0
10376,2,O,O,0
10381,1,O,O,0
10393,2,H,J,4
10397,4,A,A,1
10398,2,A,A,1
10399,28,A,A,1
10400,1,A,A,1
10402,9,M,J,2
10408,1,M,J,2
10411,3,M,J,2
10421,10,M,J,2
10422,4,M,J,2
10423,3,M,J,2
10425,1,M,J,2
10426,22,M,J,2
10427,1,H,J,4
10428,12,M,J,2
10429,2,M,J,2
10430,3,M,J,2
10431,5,M,J,2
10444,32,M,J,2
10446,1,M,J,2
10447,3,M,J,2
10448,5,M,J,2
10449,2,mixed,J,3
10451,2,M,J,2
10452,2,M,J,2
10457,3,M,J,2
10469,3,O,O,0
10474,2,O,O,0
10477,1,M,J,2
10479,1,M,J,2
10504,2,M,J,2
10506,2,M,J,2
10509,1,M,J,2
10511,2,M,J,2
10512,3,M,J,2
10513,1,M,J,2
10540,4,M,J,2
10541,2,mixed,J,3
10551,2,M,J,2
10562,5,M,J,2
10568,2,M,J,2
10570,11,H,J,4
10572,7,M,J,2
10573,1,M,J,2
10580,3,M,J,2
10588,2,M,J,2
10591,1,M,J,2
10592,3,M,J,2
10593,3,M,J,2
10594,1,M,J,2
10607,4,M,J,2
10613,3,M,J,2
10620,2,M,J,2
10621,2,M,J,2
10622,4,mixed,J,3
10628,1,M,J,2
10634,1,H,J,4
10637,2,M,J,2
10650,3,H,J,4
10675,2,H,J,4
10676,2,H,J,4
10677,7,M,J,2
10679,4,mixed,J,3
10686,2,M,J,2
10688,1,M,J,2
10713,2,mixed,J,3
10735,1,M,J,2
10743,3,M,J,2
10744,11,M,J,2
10749,2,M,J,2
10750,2,M,J,2
10763,6,M,J,2
10764,1,M,J,2
10768,2,M,J,2
10769,4,M,J,2
10773,1,M,J,2
10779,3,M,J,2
10780,2,M,J,2
10781,4,mixed,J,3
10782,1,M,J,2
10784,2,M,J,2
10785,2,M,J,2
10792,2,M,J,2
10796,2,M,J,2
10797,6,M,J,2
10800,2,M,J,2
10802,1,M,J,2
10803,10,M,J,2
